,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,win,tie,loss
196610020nyg,1.4917118058069212,,,0.646223652823511,1.085017648234342,-1.7193878989495168,0.6756336513351503,1.0638999832267946,1.31965711370912,1.0620501336082127,0.8338431882398492,0.35876537215832566,1.6259313018565582,0.9235595876059539,2.4532283927431733,0.9749400973787129,,,,1.3273346841186529,0.9307990764912861,-0.6357306257731414,0.43014469508587555,1.2048519567026534,1.0,0.0,0.0
196610080cle,1.3892827504481329,,,0.18273687751061546,-0.2543750180919913,-1.0476489342020867,0.6027131280482564,0.9401675898542599,1.1660051724519789,1.2545618306835113,0.5232111929358984,-0.1946043900427777,1.4479287134158463,0.9936497523024981,2.1649529343415415,1.7081366748796756,,,,0.07040725795997124,1.2634085474987629,-0.900907716763388,-0.019352018802367258,-0.39486030293024416,1.0,0.0,0.0
196610230cle,1.3278253172328602,,,1.2642060199073712,1.2110781344768204,-0.4980443266814622,0.09680044901122178,0.8271945350358586,1.1199095900748361,0.6000220606274962,0.23173711804716926,-0.47128927114332936,0.7596520381117603,1.0950743435692616,1.127161284095666,1.4179780293154647,,,,0.9616830692361275,0.7936368397258878,0.3189069017917463,-0.5339931839787612,0.9204586661012492,1.0,0.0,0.0
196610300atl,1.8428971384656232,,,0.23423540810093726,0.45471521702194995,-1.6844923683132864,1.2060015072525885,0.9132692434689265,1.2044181577662643,2.528805920848583,1.072730726478633,0.4641691363871071,2.3690214726487357,1.3264307863659208,1.7119486425675483,1.5974514772630155,,,,-0.41386348198861206,1.587704380507591,-0.9640451193801134,0.8383832564916228,-0.6181819574089109,1.0,0.0,0.0
196611060pit,-0.14715307993368865,,,-1.1194402531303762,-1.1660624632384873,-1.8589700214944371,-0.4546850286292447,-1.054152663572617,-0.6119672906663739,0.5120167133930738,-0.650309176988341,-0.8270269754154672,0.22733953553667938,-0.3722249698091445,0.55884680896102,0.3554001321955286,,,,-1.415052427500289,-0.10392909903283828,-1.999498522294409,-0.7796808288369312,-1.4046908746398998,0.0,0.0,1.0
196611130cle,1.7307129349774268,,,0.2685677618278183,0.3234022105193683,0.07191600704362981,1.5310928646522741,1.099764445073906,1.4541025623091195,2.602143710210602,1.535844129169042,0.7353642381007431,1.6984508749249962,0.8795814450512598,0.9878281458682105,1.5356708132689292,,,,0.2354583341222224,1.761352829576802,0.23346095025044447,0.7898868316437768,0.3738523308534655,1.0,0.0,0.0
196611200cle,1.637738869344065,,,0.3440989400269568,0.31814969025926504,-0.22120645030070318,0.7237753560294107,0.8451267659594146,0.7434623339948394,1.9005455253139585,0.8155063215567083,0.6569701884555871,1.621975688780098,1.1753344537315793,1.444264288337461,1.9882420340384352,,,,0.7534647885391336,1.484640849748958,0.018372865336133443,0.9521688980749267,0.7727929190582128,1.0,0.0,0.0
196611240dal,-1.0453771038492154,,,-0.713337554760982,-0.30164770043292066,-0.8644473983618784,-1.2786363727536125,-1.1353088172380807,-0.9659155124908612,-0.4780434429941767,-1.3504334236727769,-1.3013439144449845,-0.9788399089925253,-0.8987846945041893,-0.7754567413551052,-0.513292955676433,,,,-1.0036943607574478,-1.0736318351952239,-0.7948368803672894,-1.1046585772629651,-0.7640246705378358,0.0,0.0,1.0
196612040cle,1.3656452761345665,,,0.14060171611853398,0.3687648854929873,-1.3640879506533552,0.8566155679130377,0.6863450121453848,0.830764573345488,1.8320969219094074,0.7452689068396035,0.4593780561948901,1.5396270165519705,1.0959738964851533,1.457367718264808,1.805045313427514,,,,-0.37626943067493185,1.4740110205764199,-0.7803726754041849,0.7096736133404876,-0.5502325115192976,1.0,0.0,0.0
196612110phi,-0.4701985622190976,,,-1.0017293260667837,-0.8058896454028345,-0.8033802197484757,-0.19587279688006004,-0.8351232715777577,-0.5625791666908643,0.4845150423823167,-0.2800530416166084,-0.701860005393789,-0.19365071331516293,-0.9400142031492152,-0.28538846207233076,-0.3111872324220303,,,,-0.6913669397119572,-0.2845908478496276,-1.0334962622585113,-0.6273668974917777,-0.604509203053074,0.0,0.0,1.0
196612170crd,1.489287449467068,,,-0.06683292458094348,-0.19982961539091887,0.06565270667302443,1.440672868014978,1.0506577203909377,1.1837342425970336,2.1875031318945743,1.4020544761594445,0.635450253258877,1.5437762610377679,0.5112645011556954,1.2336014533516533,1.4533378642587738,,,,0.27257041041906,1.6616514848837367,-0.06457996825568721,0.9893847538364651,0.06475459349288266,1.0,0.0,0.0
196609180min,-0.6199025662050186,,,-3.6796529167635117,-0.4907384297966384,3.165986390122701,0.4009427480796658,0.0525221591382511,1.2812441283948353,-0.4780434429941767,0.12500013287664877,-2.4080834388471914,-1.4594468977824473,0.3628382700336023,-2.159178941682939,-0.7202519896093286,,,,-1.872116946103446,-0.11850994106123745,2.0160402841293243,-2.6967889667453786,-1.7484629841580805,1.0,0.0,0.0
196609250clt,-0.1471530799336888,,,-0.58974108134421,-0.4907384297966384,2.4331802467618684,0.44342072280989536,-0.5930381541097552,-0.10162334291943942,1.0620501336082127,0.3220530285760712,-0.7479741522438811,0.6172499673591909,0.6102153219037575,-0.42952619127314684,0.5173422334064808,,,,-0.5009233902939749,0.5476043158151086,1.485686102148831,-0.8988021111924074,-0.7093336531144889,1.0,0.0,0.0
196610090chi,-0.5568693013688413,,,-1.8257058155119308,-1.4361920766152265,-0.009506897774240354,-0.29852790247811495,-1.1310050818164272,-0.6778181226337205,0.8053678708411479,-0.32931626554146426,-1.3013439144449845,0.241466725095466,-0.8905387927751841,-0.7178016496747789,-0.6405190284626519,,,,-0.04385887169081801,-0.5196109989652736,-0.8125153530999722,-0.7511413549392649,-0.27180551372771355,0.0,0.0,1.0
196610160clt,0.9969006768429294,,,-0.7133375547609823,-0.774374523842215,0.6744455026958701,1.4399540099810817,1.2016195167197026,1.1199095900748366,1.755092243079288,1.3418017638205824,-0.6096317116936052,1.3767276780395614,0.4964218780434861,-1.034904653916574,0.655661587743542,,,,0.27608629133139184,1.2491730412026152,0.05372981080149952,-0.8518981062649387,-0.33196563289339526,1.0,0.0,0.0
